CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,LBRRY_CO,MUSEUM_CO,ARTGR_CO,PRFPLC_CO,ALL_CTLSTT_CO,LBRRY_RT,MUSEUM_RT,ARTGR_RT,PRFPLC_RT,ALL_CLTUR_RT,FILE_NM,BASE_DE
경상북도,문경시,47280,10261,5,7,0,4,16,4.87281E-4,6.82194E-4,0.0,3.89825E-4,0.001559302,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,경산시,47290,90027,3,8,1,18,30,3.3323E-5,8.8862E-5,1.1107E-5,1.9994E-4,3.33233E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,의성군,47730,4806,2,3,0,6,11,4.16146E-4,6.24219E-4,0.0,0.001248439,0.002288805,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,청송군,47750,2870,2,1,1,2,6,6.96864E-4,3.48432E-4,3.48432E-4,6.96864E-4,0.002090592,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,영양군,47760,1651,1,1,0,2,4,6.05693E-4,6.05693E-4,0.0,0.001211387,0.002422774,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,영덕군,47770,4800,1,0,0,6,7,2.08333E-4,0.0,0.0,0.00125,0.001458333,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,청도군,47820,5140,2,1,1,4,8,3.89105E-4,1.94552E-4,1.94552E-4,7.7821E-4,0.00155642,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,고령군,47830,7079,2,2,0,2,6,2.82525E-4,2.82525E-4,0.0,2.82525E-4,8.47577E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,성주군,47840,8271,2,1,0,2,5,2.41808E-4,1.20904E-4,0.0,2.41808E-4,6.04521E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,칠곡군,47850,32555,4,3,0,6,13,1.22868E-4,9.2151E-5,0.0,1.84303E-4,3.99324E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,예천군,47900,9303,2,2,1,4,9,2.14984E-4,2.14984E-4,1.07492E-4,4.29968E-4,9.67429E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,봉화군,47920,3059,1,2,0,4,7,3.26904E-4,6.53808E-4,0.0,0.001307616,0.002288329,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,울진군,47930,9191,3,1,1,4,9,3.26406E-4,1.08802E-4,1.08802E-4,4.35208E-4,9.79218E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경상북도,울릉군,47940,1046,1,1,0,4,6,9.56022E-4,9.56022E-4,0.0,0.003824091,0.005736137,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
광주광역시,동구,29110,32333,4,5,8,50,67,1.23712E-4,1.5464E-4,2.47425E-4,0.001546407,0.002072186,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
광주광역시,서구,29140,84911,5,1,0,34,40,5.8885E-5,1.1777E-5,0.0,4.00419E-4,4.71081E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
광주광역시,남구,29155,50221,5,1,4,16,26,9.9559E-5,1.9911E-5,7.9647E-5,3.18591E-4,5.17711E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
광주광역시,북구,29170,128370,7,6,2,26,41,5.4529E-5,4.6739E-5,1.5579E-5,2.02539E-4,3.19389E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
광주광역시,광산구,29200,141353,6,0,0,12,18,4.2446E-5,0.0,0.0,8.4893E-5,1.2734E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,중구,27110,24766,2,4,0,78,84,8.0755E-5,1.61511E-4,0.0,0.003149479,0.003391746,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,동구,27140,81238,6,4,0,16,26,7.3857E-5,4.9238E-5,0.0,1.96952E-4,3.20047E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,서구,27170,37620,6,0,0,8,14,1.59489E-4,0.0,0.0,2.12652E-4,3.72142E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,남구,27200,36680,3,0,1,54,58,8.1788E-5,0.0,2.7262E-5,0.001472191,0.001581243,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,북구,27230,125980,7,3,1,28,39,5.5564E-5,2.3813E-5,7.937E-6,2.22257E-4,3.09572E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,수성구,27260,99278,8,4,1,46,59,8.0581E-5,4.029E-5,1.0072E-5,4.63345E-4,5.9429E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,달서구,27290,160247,9,1,1,26,37,5.6163E-5,6.24E-6,6.24E-6,1.62249E-4,2.30893E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
